# eagle_id, description, translation, writing_style, property_id
EDR143814;galea gladiatoria cum crista ad dext.;gladiator helmet with plume and visor? facing right;Graffito/scratched;108
EDR143815;galea gladiatoria cum crista ad. dext.;gladiator helmet with crest facing right;Graffito/scratched;108
