City,Insula,Main Entrance,Secondary entrances,AGP Name,English Name,Italian Name,Category,OSM Tag,OSM ID,OSM Way ID,Herculaneum Panoramas link,Parco Archeologico Links,Source of info,Other notes
Herculaneum,IV,10,connected to 11,Taberna,Taberna,Taberna,Tavern,,,311209090,,,"Monteix calls this a boutique, but L-shaped counter confirms thermopolium/taberna",
Herculaneum,IV,11,connected to 10,Shop ,Shop ,Bottega,Shop ,,,,,http://www.pompeiisites.org/Sezione.jsp?titolo=La+bottega+%28V%2C6%29&idSezione=210,Wallace-Hadrill,"Connected with IV.10, but I think it's okay like this."
Herculaneum,IV,14,,Taberna Vasaria,Taberna Vasaria,Taberna Vasaria,Shop ,,,311209088,,http://www.pompeiisites.org/Sezione.jsp?titolo=La+taberna+vasaria+%28IV%2C14%29&idSezione=217,pompeiisites.org,
Herculaneum,IV,17,,Taberna of Priapus,Taberna of Priapus,Taberna di Priapo,Tavern,,,311209093,,http://www.pompeiisites.org/Sezione.jsp?titolo=La+taberna+di+Priapo+%28IV%2C17%29&idSezione=208,pompeiisites.org,
Herculaneum,IV,18,,House with tetrastyle atrium (hospitium?),House with tetrastyle atrium (hospitium?),,"House, Inn",,,311209096,,,Camodeca 2009,
Herculaneum,IV,19,20,House of the Fabric,House of the Fabric,Casa della Stoffa ,House,,,311209097,,,,
Herculaneum,V,1,2,Samnite House,Samnite House,Casa Sannitica ,House ,,,305742298,http://donovanimages.co.nz/proxima-veritati/Herculaneum/media/2001_HTML5_panos/Samnite/F33-05_Samnite/F33-05_Samnite.html,http://www.pompeiisites.org/Sezione.jsp?titolo=La+Casa+Sannitica&idSezione=178,,
Herculaneum,V,4,3,House of the Loom ,House of the Loom ,Casa del Telaio,House,,,305742301,,,,
Herculaneum,V,5,,House of the Wooden Furniture ,House of the Wooden Furniture ,Casa del Mobilio Carbonizzato ,House,,,305742835,http://donovanimages.co.nz/proxima-veritati/Herculaneum/Mobilio_Carbonizzato/HTML5_panos/F10-04_Mob_Carb/F10-04_Mob_Carb.html,,,
Herculaneum,V,6,,Shop,Shop,,Shop,,,305742837,,http://www.pompeiisites.org/Sezione.jsp?titolo=La+bottega+%28V%2C6%29&idSezione=210,Monteix and pompeiisites.org ,
