EDR,Latin description,English description,Langner Number,CIL IV.#,Translation removed from EDR?,Image of CIL entry uploaded?,Other notes,Drawing Category,,,,,,,,,,,,,,,,,,
,Take Latin description from EDR,English translation of description,,,Has the translation been removed yet? Yes/No,N/A if Langner has but not in CIL,,,,,,,,,,,,,,,,,,,,
EDR147158 ,galea gladiatoria,gladiator helmet,966,,,,,Gladiators,,,,,,,,,,,,,,,,,,
EDR147517 ,circulus circulos continens,concentric circles,42,,,,,,,,,,,,,,,,,,,,,,,
EDR147686 ,verba in forma navis scripta,phrase written in the shape of a boat,7,,,,,,,,,,,,,,,,,,,,,,,
EDR147687  ,verba CRESCES ARCHITECTUS in forma navis scripta,phrase CRESCES ARCHITECTUS written in the shape of a boat,8,,,,,,,,,,,,,,,,,,,,,,,
EDR147717      ,nomen NEPTVNUS in forma navis scriptum,name NEPTVNUS written in the shape of a boat,1,,,,,,,,,,,,,,,,,,,,,,,
EDR147777 ,verba CRESCES SPATALO in forma navis scripta,phrase CRESCES SPATALO written in shape of boat,9,,,,,,,,,,,,,,,,,,,,,,,
EDR147780 ,verba in forma navis scripta,phrase written in shape of boat,4,,,,,,,,,,,,,,,,,,,,,,,
EDR147856   ,gladiator,gladiator ,28,,,,,,,,,,,,,,,,,,,,,,,
EDR147857  ,nomen Psyche in medio corde,name Psyche in the middle of a heart,29,,,,,,,,,,,,,,,,,,,,,,,
EDR147860  ,verba in forma sicae scripta,words written in form of curved dagger,32,,,,,,,,,,,,,,,,,,,,,,,
EDR147861 ,verba scripta in forma sicae,words written in form of curved dagger,33,,,,,,,,,,,,,,,,,,,,,,,
EDR147863 ,circulus circulos continens,concentric circles,47,,,,,,,,,,,,,,,,,,,,,,,
EDR147874    ,circulus fortasse rota,circle perhaps wheel ,57,,,,,,,,,,,,,,,,,,,,,,,
EDR147875   ,circulus fortasse rota,circle perhaps wheel ,61,,,,,,,,,,,,,,,,,,,,,,,
EDR147876  ,circuli ,circles,67,,,,,,,,,,,,,,,,,,,,,,,
EDR147877,circulus,circle,68,,,,,,,,,,,,,,,,,,,,,,,
EDR147878   ,circulus florem continens,circle containing flower,70,,,,,,,,,,,,,,,,,,,,,,,
EDR147881  ,circulus florem continens,circle containing flower,71,,,,,,,,,,,,,,,,,,,,,,,
EDR147882    ,circulus florem continens,circle containing flower,72,,,,,,,,,,,,,,,,,,,,,,,
EDR147884  ,circulus circino tractus et florem continens,compass-drawn circle containing flower,77,,,,,,,,,,,,,,,,,,,,,,,
EDR147916 ,nomen RESTITVTVS in forma navis scriptum,name RESTITVTVS written in shape of boat,14,,,,,,,,,,,,,,,,,,,,,,,
EDR147918,nomen in forma navis scriptum,name written in shape of boat,15,,,,,,,,,,,,,,,,,,,,,,,
EDR147919  ,nomen SILETIOLLVS in forma navis scriptum,phrase SILETIOLLVS written in shape of boat,18,,,,,,,,,,,,,,,,,,,,,,,
EDR147921,nomen SILETIOLVS in forma navis scriptum,phrase SILETIOLLVS written in shape of boat,19,,,,,,,,,,,,,,,,,,,,,,,
EDR147922  ,verba COMMUNEM NU(MMUM) in forma navis scripta,phrase COMMUNEM NU(MMUM) written in shape of boat retrograde,25,,,,,,,,,,,,,,,,,,,,,,,
EDR147925,circulus circino tractus et florem continens,compass-drawn circle containing flower,78,,,,,,,,,,,,,,,,,,,,,,,
EDR147927  ,circulus circino tractus et florem continens,compass-drawn circle containing flower,79,,,,,,,,,,,,,,,,,,,,,,,
EDR147928 ,circulus circino tractus et florem continens,compass-drawn circle containing flower,80,,,,,,,,,,,,,,,,,,,,,,,
EDR147929   ,circulus florem continens,circle containing flower,81,,,,,,,,,,,,,,,,,,,,,,,
EDR147930 ,circulus florem continens,circle containing flower,82,,,,,,,,,,,,,,,,,,,,,,,
EDR147932 ,circulus triplex florem continens,triple circle containing flower,91,,,,,,,,,,,,,,,,,,,,,,,
EDR147934      ,circulus flores continens,circle containing flowers,118,,,,,,,,,,,,,,,,,,,,,,,
EDR147935,circulus circino tractus,compass-drawn circle,119,,,,,,,,,,,,,,,,,,,,,,,
EDR147936,circulus circino tractus,compass-drawn circle,120,,,,,,,,,,,,,,,,,,,,,,,
EDR147969,circulus circino tractus et circulos sectiles continens,compass-drawn circle containing overlapping circles,125,,,,,,,,,,,,,,,,,,,,,,,
EDR147970,circulus circino tractus et circulos sectiles continens,compass-drawn circle containing overlapping circles,126,,,,,,,,,,,,,,,,,,,,,,,
EDR147971,circulus circino tractus et circulos sectiles continens,compass-drawn circle containing overlapping circles,127,,,,,,,,,,,,,,,,,,,,,,,
EDR147972,circulus circino tractus et circulos floresque continens,compass-drawn circle containing circles and flowers,129,,,,,,,,,,,,,,,,,,,,,,,
