"EDR124974","CIL 04, 08215 (nota) (1)<br>A. Gallo, La Casa dei Quattro Stili, Napoli 1989, Tav. XXXIII n. 56 con foto (2)<br>M. Langner, Antike Graffitizeichnungen, Wiesbaden 2001, n. 66 con facsimile (3)<br>R. Benefiel apud Ancient Graffiti in Context, New York 2011, p. 45 n. 8, and p. 33 with overall photo (4)"
"EDR124975","CIL 04, 08215 (1)<br>R. Benefiel apud Ancient Graffiti in Context, New York 2011, p. 45 n. 9, and p. 33 con facsimile (2)"
"EDR124976","CIL 04, 08215 (nota) (1)<br>A. Gallo, La Casa dei Quattro Stili, Napoli 1989, Tav. XXXIV n. 58 con foto (2)<br>R. Benefiel, apud Ancient Graffiti in Context, New York 2011, p. 46 n. 10, and p. 33 with overall photo (3)"
"EDR124977","CIL 04, 08215 (nota) (1)<br>A. Gallo, La Casa dei Quattro Stili, Napoli 1989, Tav. XXXIV n. 57 con foto (2)<br>M. Langner, Antike Graffitizeichnungen, Wiesbaden 2001, n. 1900 con facsimile (3)<br>R. Benefiel apud Ancient Graffiti in Context, New York 2011, p. 46 n. 11, and p. 33 with photo (4)"
"EDR124978","CIL 04, 08215 (nota) (1)<br>A. Gallo, La Casa dei Quattro Stili, Napoli 1989, Tav. XXXIV n. 57 con foto (2)<br>M. Langner, Antike Graffitizeichnungen, Wiesbaden 2001, n. 1901 con facsimile (3)<br>R. Benefiel apud Ancient Graffiti in Context, New York 2011, p. 46 n. 12, and p. 33 with photo (4)"
"EDR124981","CIL 04, 08218b (1)<br>R. Benefiel apud Ancient Graffiti in Context, New York 2011, p. 46 n. 16 (2)"
"EDR124982","CIL 04, 08218c (1)<br>R. Benefiel apud Ancient Graffiti in Context, New York 2011, p. 46 n. 17 (2)"
"EDR124983","CIL 04, 08218d (1)<br>R. Benefiel apud Ancient Graffiti in Context, New York 2011, p. 47 n. 18 (2)"
"EDR124984","CIL 04, 08218e (1)<br>R. Benefiel apud Ancient Graffiti in Context, New York 2011, p. 47 n. 19 (2)"
"EDR124987","CIL 04, 08218g (1)<br>R. Benefiel apud Ancient Graffiti in Context, New York 2011, p. 47 n. 21 (2)"
"EDR124989","CIL 04, 08218h (1)"
"EDR124991","CIL 04, 08218i (1)"
"EDR124992","CIL 04, 08218k (1)<br>R. Benefiel apud Ancient Graffiti in Context, New York 2011, p. 47 n. 24 (2)"
