"EDR128047","Textus secundum (1)<br>v. 1: The first ""i"" in Lucilius is taller than the rest of the letters"
"EDR128114","Textus secundum (2)"
"EDR127149","Textus secundum (1)"
"EDR127404","Textus secundum (1)<br>"
"EDR127415","Textus secundum (1)<br>"
"EDR127418","Textus secundum (1)<br>v. 1: QV measures 0,4cm in length; QV AD measures 1,4cm in length "
"EDR127848","Textus secundum (1)"
"EDR127850","Textus secundum (1)"
"EDR128048","Textus secundum (1)"
"EDR128050","Textus secundum (1)"
"EDR128279","Textus secundum (1)"
"EDR127213","Textus secundum (1)<br>v. 2: 'L' is tall"
"EDR127425","Textus secundum (1)<br>v.1: Cinn(amus?)"
"EDR127231","Textus secundus (1), <br>v.1: inop(s) vel inop(us?) (2) "
"EDR127233","Textus secundum (1), periit (2). "
"EDR127237","Textus secundum (1), periit (2)"
"EDR127368","Textus secundum (1)"
"EDR127399","Textus secundum (1), periit (2) <br>v. 4: the letter ""E"" is written as ""II."" "
"EDR127573","Textus secundum (1)"
"EDR127578","Textus secundum (1)<br>v. 1: A backwards ""C"" denotes either 'centuria' or 'centurionis'."
"EDR127806","Textus secundum (1), periit (2). "
"EDR127808","Textus secundum (2)<br>"
"EDR128116","Textus secundum (1)<br>v.1: The letters ""V"" and ""A"" are written upside down; the letter ""E"" is written as ""II"". "
"EDR127192","Textus secundum (1)<br>v. 2: the letter ""E"" is written as II"
"EDR127298","Textus secundum (1)<br>v. 1: A[ulus?] vel P[ublius?]<br>vv. 4-5: Qui/[e]ti? vel Qui[(n)c?]ti?"
"EDR127577","Textus secundum (1)<br>v. 1: Postu(mi) vel Postu(mius)?"
"EDR127579","Textus secundum (1)<br>v. 1: A backwards ""C"" denotes either 'centuria' or 'centurionis'."
"EDR127969","Textus secundum (1)"
"EDR128013","Textus secundum (1)"
"EDR128014","Textus secundum (1)<br>There is a drawing of a bird near the inscription."
"EDR128049","Textus secundum (1)<br>v. 1: lat. 2,2 litt. alt. 0,5<br>v. 2: lat. 4,8 litt. alt. 1,6-3,5<br>v. 3: lat. 2,2 litt. alt. 0,5<br>v. 4: lat. 3,9 litt. alt. 1,1"
"EDR128052","Textus secundum (1)<br>"
"EDR128056","Textus secundum (1)"
"EDR128057","Textus secundum (1)"
"EDR128058","Textus secundum (1)"
"EDR127823","Textus secundum (1)"
"EDR127842","Textus secundum (1)<br>v.1 [Pro]culus?; 'L' is long"
"EDR128053","Textus secundum (1)"
"EDR128059","Textus secundum (1)"
"EDR128062","Textus secundum (1)"
"EDR128097","Textus secundum (1), periit (2)"
"EDR128098","Textus secundum (1), periit (2)<br>v.2-5: the letter ""E"" appears as ""II"". "
"EDR127152","Textus secundum (1) <br>v.1: There is a space between ""Paca"" and ""tus."" "
"EDR128276","Textus secundum (1) "
"EDR128545","Textus secundum (1)"
"EDR128558","Textus secundum (1), periit (2)<br>v.1: X vel V, pro nomen gentilicium?"
"EDR127155","Textus secundum (2)<br>v.3-4: The letter ""E"" appears as ""II""."
"EDR127187","Textus secundum (1), periit (2)"
"EDR127366","Textus secundum (1)<br>v. 1: Virilio vel Vir(g)ilio? (1). "
"EDR127411","Textus secundum (1)<br>v.4: Aquiti?"
"EDR127811","Textus secundum (1)"
"EDR127813","Textus secundum (1)<br>v. 1-2: Raur pro Rarus? (1). "
"EDR127833","Textus secundum (1). Titulus periit (2). <br>"
"EDR127838","Textus secundum (1)"
"EDR128017","Textus secundum (2), periit (2)"
"EDR128055","Textus secundum (1)<br>v. 1: CIL suggests Cha(ris?) as a possible understanding of the inscription, but other options are possible."
"EDR128061","Textus secundum (1)<br>v. 1: Anchario / Lina (salutem?) vel Anchario/linia (1)"
"EDR128063","Textus secundum (1). <br>v.2: The letter ""S"" is written backwards. "
"EDR128294","Textus secundum (2)"
"EDR128546","Textus secundum (1)"
"EDR128547","Textus secundum (1)"
"EDR128548","Textus secundum (1)"
"EDR128551","Textus secundum (1)"
"EDR128553","Textus secundum (1)<br>v.1: The second letter presents a vertical line intersected by a horizontal line (lower-case ""T""?)."
"EDR128557","Textus secundum (1)"
"EDR128562","Textus secundum (1)<br>v. 1-2: These series of numerals occur on either side of a doorway. (1)"
"EDR128564","Textus secundum (1)"
"EDR127185","Textus secundum (1)"
"EDR127194","Textus secundum (1), periit (2)<br>v.1: X (pugnarum?), suggested because of the gladiator drawing (see CIL ad loc.)"
"EDR127416","Textus secundum (1)<br>v. 7: the letter E is written as II"
"EDR127807","Textus secundum (1)<br>v.1: centuria vel centurionis"
"EDR127809","Textus secundum (1)<br>v.1: Primu(s) vel Prime"
"EDR127810","Textus secundum (1) "
"EDR127828","Textus secundum (1)"
"EDR128064","Textus secundum (1), periit (2) "
"EDR128277","Textus secundum (1)"
"EDR128556","Textus secundum (2), periit<br>v.1: emis CC n(ummis?): the final letter is a backwards K"
"EDR127412","Textus secundum (1)"
"EDR127417","Textus secundum (1)"
"EDR127419","Textus secundum (1)"
"EDR127790","Textus secundum (2), periit. "
"EDR127980","Textus secundum (1)"
"EDR128118","Textus secundum (1)<br>v.2: The letter ""A"" appears below the letter ""L"" in line 1.  "
"EDR128542","Textus secundum (1)"
"EDR128552","Textus secundum (1)"
"EDR128555","Textus secundum (1) "
"EDR128561","Textus secundum (1) "
"EDR128565","Textus secundum (1) "
"EDR128566","Textus secundum (1) "
